Status,Problem ,Solution,Topic,Sub Topic,Difficulty,Remarks,Link
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Grid_Unique_Paths__DP_on_Grids_%28DP%E2%80%A6.py,Dynamic Programming,2D 3D DP,,,
Yes,https://leetcode.com/problems/maximal-square,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Largest_Square.py,Dynamic Programming,2D 3D DP,Medium,,
Yes,https://leetcode.com/problems/best-sightseeing-pair/description/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Max_Points_with_Cost%28Sightseeing_Pair_Based%29.py,Dynamic Programming,2D 3D DP,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Maze_Traverse_Coin_Robbers.py,Dynamic Programming,2D 3D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/MinimumMaximum_Falling_Path_Sum_%28D%E2%80%A6.py,Dynamic Programming,2D 3D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Minimum_path_sum_in_Grid_%28DP_10%29.py,Dynamic Programming,2D 3D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Ninja%27s_Training_%28DP_7%29.py,Dynamic Programming,2D 3D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Num_paths_in_grid_2.py,Dynamic Programming,2D 3D DP,,,
Yes,https://www.geeksforgeeks.org/0-1-knapsack-problem-dp-10/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Follow_Ups/Printing_Knapsack_0_1.py,Dynamic Programming,DP Follow Ups,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Follow_Ups/README.md,Dynamic Programming,DP Follow Ups,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_LIS/Count_LIS.py,Dynamic Programming,DP LIS,,,
Yes,https://leetcode.com/problems/increasing-triplet-subsequence/description/?envType=study-plan-v2&envId=leetcode-75,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_LIS/Increasing_Triplet_Subsequence.py,Dynamic Programming,DP LIS,Medium,,
Yes,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/description/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_LIS/Min_deletions_to_have_one_peak.py,Dynamic Programming,DP LIS,Hard,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Strings/Diff_Utility_Strings.py,Dynamic Programming,DP Strings,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Strings/LCS_3_Strings.py,Dynamic Programming,DP Strings,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Strings/Longest_Common_Subsequence__%28DP_-_25%29.py,Dynamic Programming,DP Strings,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Strings/Longest_Common_Substring.py,Dynamic Programming,DP Strings,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Strings/Longest_Palindromic_Subsequence__%28%E2%80%A6.py,Dynamic Programming,DP Strings,,,
Yes,https://leetcode.com/problems/longest-palindromic-substring/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Strings/Longest_Palindromic_Substring.py,Dynamic Programming,DP Strings,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/01_Knapsack_%28DP_-_19%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Coin_Change_2_%28DP_-_22%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Count_Subsets_with_Sum_K_%28DP_-_17%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Minimum_Coins_%28DP_-_20%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Partition_Equal_Subset_Sum_%28DP-_15%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Print_Subset_Sum.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Rod_Cutting_Problem__%28DP_-_24%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Subset_sum_equal_to_target_%28DP-_14%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Target_Sum_%28DP_-_21%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_Subsequences/Unbounded_Knapsack_%28DP_-_23%29.py,Dynamic Programming,DP Subsequences,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_on_Trees/House_Robber_III.py,Dynamic Programming,DP on Trees,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_on_Trees/Max_K_Sum_Non_Adjacent.py,Dynamic Programming,DP on Trees,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/DP_on_Trees/Max_sum_alternate_pick.py,Dynamic Programming,DP on Trees,,,
